"id","date","score"
10,16924,82
19,16934,94
24,17079,98
31,17029,84
45,16966,84
48,16982,94
50,16966,80
56,17015,90
58,16898,73
61,16990,94
66,17046,100
67,17093,94
73,17071,92
76,17079,98
77,17079,96
80,16903,98
95,17000,86
98,16876,96
101,16946,98
102,17108,85
116,16948,76
125,16941,92
132,16930,81
140,16905,85
141,16979,100
146,17091,84
151,17008,92
164,17115,87
178,16975,66
180,17155,94
184,17077,98
187,16932,89
190,17141,100
192,16980,90
217,17056,90
221,16932,100
226,16944,82
231,16861,88
234,17071,81
236,17091,96
239,16946,84
240,17078,82
247,17119,86
251,16968,96
253,17143,96
256,17093,96
258,17066,78
267,17003,84
268,17007,91
272,16938,78
273,17064,78
275,17105,96
279,16939,98
281,16958,96
286,17107,82
290,16967,89
298,17087,88
299,16987,96
300,16904,68
302,17046,89
305,16939,87
315,17115,92
320,17064,68
323,17113,94
326,17031,82
328,17127,81
335,16848,79
337,16941,90
379,16962,74
383,16941,100
385,16990,83
386,16920,82
393,17004,84
394,17001,96
395,17001,96
397,17053,94
400,16960,100
403,16983,81
413,17043,78
420,16925,78
421,16941,89
422,17071,94
423,17045,85
428,16989,96
429,16954,87
430,16941,82
431,16946,92
435,17147,92
436,17102,87
438,16881,90
442,16868,86
443,16876,92
447,17052,96
462,16941,94
463,16988,88
468,17091,79
470,17064,87
473,17071,94
475,17107,90
477,16897,88
479,17011,87
480,16918,86
483,16926,96
484,16993,91
485,17142,96
486,17018,93
488,16946,89
489,17003,79
494,16933,74
496,16903,91
500,17133,89
502,17141,98
505,16959,90
507,17133,90
509,17042,90
510,17114,87
519,17022,85
520,16941,98
521,17058,68
522,16988,94
527,17079,84
529,16966,90
538,17072,86
539,17105,96
542,17080,86
544,16960,78
547,16903,98
551,17112,81
552,16937,87
557,16981,85
558,16860,92
562,17023,98
580,17042,92
587,16960,96
588,16967,83
589,17133,85
591,16967,83
606,16939,86
610,17032,94
615,17000,92
619,16946,88
625,17065,90
628,17135,90
631,17074,98
639,17057,94
642,16969,94
659,17109,87
665,17079,83
670,17058,86
691,17063,90
695,17074,94
703,16969,66
726,17114,72
741,16962,83
744,16976,90
758,17022,94
773,17140,96
774,17140,90
786,17035,80
792,17091,90
795,16959,96
796,17112,90
798,17144,83
799,16960,92
821,16958,85
824,17108,80
826,16944,83
827,16972,84
830,17010,82
835,16965,81
843,17091,86
845,17011,94
847,16938,87
852,17043,74
854,16966,82
856,16989,94
874,17086,94
876,16939,83
880,17085,84
884,17079,83
891,17098,92
892,16940,77
903,16982,90
905,17065,98
917,17046,96
919,16890,92
920,16890,100
929,16974,98
935,17063,100
941,17017,92
943,17109,87
949,16840,100
950,17149,85
951,16917,88
952,17105,88
961,17056,94
966,16961,87
972,17114,83
984,16965,87
985,16966,79
993,16990,94
994,17023,88
999,16924,81
1000,17063,81
1002,17073,90
1003,16988,88
1005,16923,84
1008,17017,94
1018,16958,96
1021,17032,91
1026,17008,87
1031,17059,80
1036,17057,90
1042,17016,92
1047,17001,84
1075,16869,90
1081,17063,96
1085,17144,92
1090,16917,100
1102,16871,82
1103,17134,98
1111,16973,87
1116,17056,96
1122,17088,86
1124,16890,89
1125,16948,96
1127,16967,94
1139,16972,80
1144,17073,79
1146,16965,74
1147,17102,98
1151,16926,90
1154,17056,76
1156,16892,92
1157,17092,96
1193,16828,83
1199,16905,90
1203,17087,98
1204,16840,92
1219,17105,91
1231,17122,85
1232,16944,98
1241,17155,92
1243,16939,94
1244,16944,72
1249,17070,78
1265,16955,98
1269,17060,100
1289,17141,94
1294,17009,93
1296,17071,88
1300,17071,65
1318,16994,81
1322,17038,89
1332,16918,86
1337,17108,88
1339,17156,90
1341,17039,100
1344,16961,100
1345,17004,79
1350,16939,77
1351,16981,96
1352,17134,86
1354,17072,92
1359,17099,100
1362,17002,84
1366,16954,90
1368,16916,91
1381,17133,85
1389,17100,78
1396,16966,94
1398,16961,96
1399,17108,98
1409,17144,96
1413,16910,100
1426,17100,70
1427,17063,85
1434,17140,96
1438,17078,90
1442,16861,85
1444,17088,100
1454,16968,94
1465,16952,94
1466,17028,98
1469,17133,98
1482,16869,90
1487,17156,96
1493,16891,92
1505,17035,100
1508,16953,88
1511,17045,81
1515,17085,93
1516,17085,90
1517,17085,94
1526,17001,80
1532,16945,91
1534,17127,88
1544,17079,100
1549,17105,92
1555,16871,100
1564,17032,98
1565,17039,79
1566,16987,85
1567,16910,87
1568,16836,88
1571,16904,85
1579,16967,88
1582,16917,83
1584,17031,86
1594,17065,76
1595,17002,94
1598,16926,90
1607,17056,88
1608,17144,94
1609,16888,83
1614,17144,100
1615,16925,98
1617,16953,77
1619,16980,94
1626,17077,92
1631,17050,77
1632,17023,92
1641,17025,84
1649,17141,98
1664,17155,90
1674,17095,87
1685,17093,76
1687,16946,96
1692,17022,82
1700,17121,89
1703,17133,92
1710,16898,88
1724,17100,83
1726,17010,91
1727,16997,88
1734,16871,82
1741,16941,92
1747,17066,79
1753,16959,88
1754,17137,86
1757,17017,79
1764,16952,93
1768,16987,87
1778,17050,94
1791,16933,86
1792,16955,90
1796,17079,81
1797,16987,90
1798,17031,98
1800,17022,82
1811,17142,94
1813,17009,85
1815,17011,75
1823,17045,90
1829,16937,92
1830,16916,86
1831,17039,91
1833,16904,78
1836,16923,81
1837,17004,85
1843,17036,75
1844,16941,92
1850,17035,80
1852,16944,92
1856,17042,85
1865,17017,91
1867,16903,94
1870,16989,80
1880,16885,84
1882,16913,89
1894,16939,94
1896,17043,90
1903,16868,86
1912,17042,80
1921,16958,85
1922,17086,86
1926,17086,86
1930,17093,83
1932,16953,87
1936,16946,90
1939,17149,98
1942,17073,81
1949,17039,94
1950,16967,87
1952,17155,94
1954,17107,88
1959,17016,85
1968,16990,77
1970,17142,86
1972,17112,88
1973,17087,69
1977,16888,87
1978,17091,80
1983,16945,98
1989,16968,96
1991,16925,91
1992,17009,73
1994,17023,92
2002,17058,98
2004,16954,83
2007,17155,88
2008,16997,86
2012,16975,90
2017,17098,92
2020,17149,74
2027,17106,81
2031,17105,90
2032,17105,85
2039,17022,85
2044,16888,93
2047,16952,88
2050,16933,89
2051,16883,96
2053,17010,96
2055,17091,81
2057,17008,87
2066,17077,85
2070,16966,80
2072,17077,87
2077,17092,83
2085,17113,78
2094,17078,96
2104,16827,85
2106,16829,100
2107,16927,92
2110,17050,63
2115,16827,62
2117,16927,100
2124,16875,96
2127,17091,79
2131,16982,92
2134,17114,87
2143,16961,86
2144,17022,79
2168,17121,92
2172,16967,78
2175,17004,96
2189,17029,79
2193,16994,82
2216,16898,85
2218,16868,100
2219,17029,74
2223,17065,77
2226,17109,84
2228,16835,96
2233,16945,85
2234,17092,83
2240,16952,79
2244,16961,96
2245,16910,92
2249,17039,90
2252,17155,96
2256,16939,76
2261,16890,96
2262,16890,94
2263,16939,61
2266,16876,94
2274,16955,93
2279,16910,94
2280,17038,82
2282,16931,83
2292,17135,79
2293,17122,94
2299,17001,96
2305,16947,89
2309,17052,83
2315,17142,88
2317,17029,93
2318,16974,92
2326,16864,72
2331,17036,72
2334,17035,88
2335,17042,94
2336,17030,90
2337,17085,92
2343,17106,96
2346,17094,92
2347,16958,87
2352,16861,98
2356,17112,93
2357,17071,86
2358,16853,89
2360,17042,94
2363,16860,98
2369,16884,86
2374,16945,83
2384,16883,91
2385,17016,96
2387,16953,84
2409,17045,94
2418,16987,83
2420,17156,96
2421,17035,90
2427,17043,89
2428,17059,84
2433,17098,98
2437,17133,80
2447,17035,92
2454,17100,90
2455,17063,96
2469,17092,98
2472,17102,100
2483,17051,96
2495,17025,100
2497,16959,85
2501,17149,94
2505,16853,92
2519,17134,90
2523,17030,89
2535,17025,96
2542,16955,81
2544,17140,81
2553,17004,89
2555,17073,96
2559,16955,90
2561,16842,66
2578,17133,100
2588,16847,98
2589,16889,92
2592,16897,100
2596,16961,74
2597,17025,94
2599,16966,74
2601,16870,92
2610,17091,90
2622,16947,61
2632,17011,90
2638,17134,81
2645,16946,96
2646,17052,90
2649,17042,86
2652,17092,77
2653,16937,90
2659,16966,78
2664,17107,85
2667,16910,98
2676,16934,100
2684,17107,83
2689,17133,98
2690,17099,92
2692,17036,85
2697,17011,90
2706,16968,89
2709,16848,84
2716,17101,82
2717,16933,75
2724,17073,92
2725,16932,90
2731,17011,86
2733,17056,96
2739,17063,88
2743,17098,84
2749,17133,94
2750,16953,92
2755,17140,85
2756,16891,98
2758,17036,86
2764,17043,70
2766,17088,81
2767,16863,96
2768,16875,92
2777,16955,94
2778,17065,83
2780,16911,92
2785,16980,79
2788,16944,90
2797,17093,86
2798,17140,86
2799,16910,100
2807,17024,81
2808,16917,74
2810,16840,98
2818,17060,92
2821,16980,83
2829,16954,94
2833,17107,83
2836,17072,90
2837,17018,93
2840,16927,94
2841,16927,90
2843,16856,94
2849,17119,90
2854,17059,82
2858,16939,87
2861,17085,96
2862,16827,100
2863,16834,92
2866,17065,92
2869,17133,100
2870,17157,71
2883,16958,87
2884,17113,100
2885,17037,71
2893,16987,80
2898,17108,94
2899,17148,94
2902,16983,81
2917,17079,89
2919,17079,96
2920,16926,100
2922,17151,76
2924,17142,82
2925,17142,88
2926,16882,88
2927,17015,92
2928,17149,100
2929,16987,94
2932,17133,96
2933,17015,88
2934,17016,87
2941,17002,73
2942,17028,90
2943,17071,90
2945,17086,80
2949,16867,100
2952,17016,96
2955,16960,75
2957,16994,92
2969,16934,69
2970,16945,92
2972,16937,88
2973,16855,96
2974,17004,89
2978,16953,96
2980,17098,89
2984,16953,96
2987,16941,89
2996,17052,86
3006,16980,74
3014,16960,92
3016,17119,62
3019,16926,92
3021,17142,85
3025,17107,88
3029,17043,82
3031,17073,82
3032,17149,100
3038,16972,73
3043,16920,94
3046,16979,94
3048,17092,76
3050,16918,90
3053,16933,90
3054,16961,89
3055,17064,94
3056,16860,94
3059,16870,89
3061,17002,96
3065,17045,83
3073,17036,70
3076,17028,88
3082,17123,78
3084,17051,85
3091,17001,91
3095,16982,85
3102,17043,87
3112,17107,83
3114,17149,90
3115,17114,68
3116,17039,93
3120,16867,91
3121,17057,87
3122,16954,85
3123,17072,72
3129,16953,100
3133,16902,85
3134,16962,82
3151,17119,62
3155,16899,83
3156,17080,86
3160,17039,85
3161,16974,87
3165,17077,79
3167,17112,78
3185,17077,96
3186,17133,100
3189,16931,85
3190,16933,91
3196,16962,87
3207,16871,100
3210,16987,96
3211,17028,83
3216,16954,94
3218,16953,82
3222,16911,84
3228,16890,92
3229,17105,84
3237,17071,77
3241,17050,86
3248,17105,89
3252,17007,86
3253,17080,94
3256,17079,87
3260,17074,96
3262,16911,100
3263,16990,96
3265,16912,93
3267,17001,96
3280,17057,88
3285,17079,77
3286,16987,70
3296,16920,96
3299,16904,83
3300,16932,98
3302,17044,94
3304,17105,87
3309,17106,67
3316,16931,66
3317,17050,93
3323,16884,96
3324,16863,89
3325,17029,83
3328,16931,92
3329,17023,92
3335,17028,83
3337,17008,85
3338,16966,90
3343,17051,96
3350,17060,96
3365,16811,100
3373,16857,96
3374,16891,100
3375,16875,83
3393,17123,96
3394,17105,92
3403,16871,100
3405,17022,75
3420,17045,85
3425,17063,92
3428,16902,100
3429,17137,90
3431,16979,100
3433,16953,86
3437,16916,92
3439,17087,96
3443,17008,90
3444,16925,92
3445,16911,89
3446,16946,91
3456,17031,73
3459,16813,77
3476,16973,87
3478,17113,98
3480,17119,79
3481,16805,83
3482,16916,81
3485,17112,85
3488,17115,87
3490,16892,100
3491,17015,67
3492,16814,100
3496,17137,92
3497,16946,92
3498,16937,94
3503,17114,100
3504,16982,94
3510,17114,68
3512,16868,98
3515,17024,100
3518,16955,100
3519,16955,100
3522,17140,78
3524,17011,94
3525,16898,98
3528,16988,78
3529,16917,96
3536,17151,86
3538,16960,98
3543,16938,94
3547,16938,90
3548,17043,86
3550,16896,81
3562,17112,92
3566,16972,80
3571,17015,78
3587,17044,68
3591,17060,90
3594,16890,88
3607,16948,92
3611,16980,90
3614,17087,76
3615,16939,98
3616,16946,90
3621,17052,92
3623,17032,88
3626,17059,94
3630,16982,90
3631,16967,94
3639,17007,87
3640,17021,86
3643,16974,87
3645,17066,94
3649,17074,86
3651,16990,81
3659,16955,88
3661,17086,74
3664,16972,74
3665,17015,78
3674,17088,92
3676,17029,87
3690,16938,96
3693,17029,76
3707,16953,100
3715,17063,79
3727,16995,84
3728,17023,79
3736,16896,91
3738,17042,92
3743,16875,89
3752,16966,94
3757,16974,88
3769,17106,98
3790,16847,100
3791,16847,92
3794,17107,85
3795,16966,98
3796,16925,100
3800,17102,88
3803,16994,98
3816,17010,67
3817,17079,71
3822,16960,90
3834,16888,100
3838,17018,72
3839,17028,87
3850,17150,87
3859,17030,87
3861,17099,89
3862,16994,75
3868,16868,96
3869,16993,90
3870,17134,82
3871,17036,90
3875,16988,65
3877,16924,83
3881,16932,76
3885,16968,83
3895,17011,78
3902,16939,98
3910,16973,81
3911,16961,90
3920,16937,88
3924,16890,87
