Mar03 90  0.06   0.025  642
Apr20 90  0.06   0.005  524
May16 90  0.18   0.002  515
Jul25 90  0.18   0.005  480
Aug22 90  0.05   0.2    511
Sep04 90  0.004  0.1    487
Sep18 90  0.009  0.007  519
Oct03 90  0.06   0.025  537
Oct18 90  0.04   0.058  550
Nov01 90  0.065  0.007  520
Nov15 90  0.008  0.004  526
Dec01 90  0.23   0.023  531
Dec10 90  0.23   0.002  508
Dec27 90  0.18   0.002  501
Jan07 91  0.02   0.009  503
Jan23 91  0.007  0.008  508
Feb04 91  0.26   0.007  534
Feb18 91  0.29   0.008  505
Mar04 91  0.02   0.005  492
Mar18 91  0.062  0.013  504
Apr01 91  0.062  0.009  505
Apr15 91  0.033  0.065  537
Apr29 91  0.003  0.003  508
May13 91  0.009  0.03   513
May28 91  0.001  0.025  525
Jun11 91  1.05   0.009  474
Jun24 91  0.01   0.009  504
Jul08 91  0.268  0.001  562
Jul22 91  0.12   0.001  529
Aug05 91  0.005  0.009  511
Aug21 91  0.008  0.007  522
Dec03 91  0.007  0.002  499
